No,course_ID,name,subject_area,catalogue,pre-requisite,co-requisite,assumed_knowledge,unit,pass_rate,description,term
21,107808,Introduction to Engineering,ENG,1001,,,,3,51,"This course introduces students to the range of engineering disciplines and the engineering method of problem-solving, as well as sustainability and other issues associated with the practice of engineering. This introduction is made through a mix of lectures, group-based activities, site visits, and presentations from practising engineers. Since a key attribute of successful professional engineers is the ability to communicate effectively, the course focuses on improving core engineering communication skills. As part of a group students will attempt the Engineers Without Borders Challenge, which is an opportunity to devise engineering solutions to a problem faced by a specific developing community.",3710
28,105876,Programming (Matlab and C),ENG ,1002,,,COMP SCI 2004,3,47,"Introduces the fundamental concepts of procedural programming. Topics include data types, control structures, functions, arrays, files, and the mechanics of running, testing, and debugging. This course covers introductory programming and problem solving in MATLAB and C or Fortran. 

-  Algorithms and problem-solving: Problem-solving strategies; the role of algorithms in the problem-solving process; implementation strategies for algorithms; debugging strategies; the concept and properties of algorithms
-  Fundamental programming constructs: Syntax and semantics of a higher-level language; variables, types, expressions, and assignment; simple I/O; conditional and iterative control structures; functions and parameter passing; structured decomposition
-  Fundamental data structures: Primitive types; arrays; records; strings and string processing
-  Software development methodology: Fundamental design concepts and principles; testing and debugging strategies; test-case design (black box testing and requirements testing); unit testing; programming environments",3710
7,108528,Opportunity Assessment,ENTREP ,1006,,,,3,46,Developing an opportunity assessment programme; Assessing potential success of a number of possible opportunities; Risk analysis of commercialisation of innovation; Assessing technological innovations; Assessing market and financial issues of commercialisation; Constructing and communication of conclusions.,3720
40,19786,Mathematics IA,MATHS ,1011,"One of COMP SCI 1007, COMP SCI 1009, COMP SCI 1103, COMP SCI 1203, COMP SCI 2103 or COMP SCI 2202",,COMP SCI 2004,3,50,"This course, together with MATHS 1012 Mathematics IB, provides an introduction to the basic concepts and techniques of calculus and linear algebra, emphasising their inter-relationships and applications to engineering, the sciences and financial areas; introduces students to the use of computers in mathematics; and develops problem solving skills with both theoretical and practical problems. 

Topics covered are: Calculus: functions of one variable, differentiation, the definite integral, and techniques of integration. Algebra: Linear equations, matrices, the real vector space determinants, optimisation, eigenvalues and eigenvectors; applications of linear algebra.",3710
41,9786,Mathematics IB,MATHS ,1012,"One of COMP SCI 1007, COMP SCI 1009, COMP SCI 1103, COMP SCI 1203, COMP SCI 2103 or COMP SCI 2202",,COMP SCI 2000,3,46,"""This course, together with MATHS 1011 Mathematics IA, provides an introduction to the basic concepts and techniques of calculus and linear algebra, emphasising their inter-relationships and applications to engineering, the sciences and financial areas; introduces students to the use of computers in mathematics; and develops problem solving skills with both theoretical and practical problems.

Topics covered are: Calculus: Applications of the derivative; functions of two variables; Taylor series; differential equations. Algebra: The real vector space, eigenvalues and eigenvectors, linear transformations and applications of linear algebra.""",3720
18,108277,Analog Electronics,ELEC ENG ,1100,COMP SCI 1103,,,3,49,"This course develops a basic understanding of the fundamentals and principles of analog circuits and electronic devices in electrical and electronic engineering. It covers the key electrical variables and the application of fundamental circuit laws and theorems to DC/AC resistive circuits; the analysis of RLC circuits including resonance; the principles, construction, analysis and modelling of basic semi-conductor devices; and experimental work involving diodes, transistor amplifiers and op-amps. It includes a communication and professional skills development component.",3710
17,108280,Digital Electronics,ELEC ENG ,1102,COMP SCI 3303,,,3,48,"This course provides an introduction to the control of engineering systems using microprocessors, sensors and actuators. Within this context it introduces the fundamentals of digital logic, digital arithmetic, programmable logic and computer architecture. Research skills and aspects of professional practice are developed through group-bases assignments.",3720
27,105877,Object Oriented Programming,COMP SCI ,1102,"COMP SCI 1009, COMP SCI 1102 or COMP SCI 1202",,,3,51,"This course is designed as an entry level programming course for students who have prior programming experience. This course introduces the concepts of object-oriented programming to students with a background in the procedural paradigm.

Note: Students who do not have prior programming experience or who are not confident in their programming ability should complete COMP SCI 1101 Introduction to Programming prior to undertaking this course.

The course begins with a brief review of control structures and data types with emphasis on structured data types and array processing. It then moves on to introduce the object-oriented programming paradigm, focusing on the definition and use of classes along with the fundamentals of object-oriented design. Other topics include an overview of programming language principles, simple analysis of algorithms, basic searching and sorting techniques, and an introduction to software engineering issues.

-  Brief review of control structures, functions, and primitive data types
-  Object-oriented programming: Object-oriented design; encapsulation and information-hiding; separation of behavior and implementation; classes, subclasses, and inheritance; polymorphism; class hierarchies
-  Fundamental computing algorithms: simple searching and sorting algorithms (linear and binary search, selection and insertion sort)
-  Fundamentals of event-driven programming
-  Machine level representation of data: Bits, bytes, and words; numeric data representation and number bases; representation of character data
-  Introduction to computer graphics: Using a simple graphics API
-  Memory management
-  Overview of programming languages: History of programming languages; brief survey of programming paradigms
-  Introduction to language translation: Comparison of interpreters and compilers; language translation phases; machine-dependent and machine-independent aspects of translation",3720
9,108366,Introduction to Software Engineering,COMP SCI ,1106,,COMP SCI 1101 or COMP SCI 1201 should be completed prior to or concurrently with COMP SCI 1106,,3,51,"This course provides a general introduction to software engineering. It introduces concepts such as software processes and agile methods, and essential software development activities, from initial specification through to system maintenance. Formalisms and tools to assist in software development are also presented, including common design patterns and UML notation. There is a focus on software testing, from unit testing to the testing of software releases. Project management and professional software engineering practice will also be covered. Case studies provide practical examples for many of these concepts.",3720
46,1956,Computer Systems,COMP SCI ,2000,,,,3,49,"Information storage representation, Memory organisation and hierarchy, Processor fundamentals, assembler programming, assembler operation, subroutine calling mechanisms, linking/loading, Input-output and device controllers requirements for supporting an operating system and device drivers.",3710
