No.,program,plan,course_ID,course_type,group
1,BENGH,BEHSOFTS1,108960,core,220
2,BENGH,BEHSOFTS1,108956,elective,310
3,BENGH,BEHSOFTS1,108572,elective,310
4,BENGH,BEHSOFTS1,108529,elective,310
5,BENGH,BEHSOFTS1,108529,elective,305
6,BENGH,BEHSOFTS1,108529,elective,320
7,BENGH,BEHSOFTS1,108528,elective,320
8,BENGH,BEHSOFTS1,108492,elective,320
9,BENGH,BEHSOFTS1,108366,core,110
10,BENGH,BEHSOFTS1,108291,elective,310
11,BENGH,BEHSOFTS1,108289,core,420
12,BENGH,BEHSOFTS1,107288,core,420
13,BENGH,BEHSOFTS1,108288,core,410
14,BENGH,BEHSOFTS1,108286,elective,320
15,BENGH,BEHSOFTS1,108285,core,210
16,BENGH,BEHSOFTS1,108284,core,210
17,BENGH,BEHSOFTS1,108280,core,110
18,BENGH,BEHSOFTS1,108277,core,110
19,BENGH,BEHSOFTS1,107927,core,310
20,BENGH,BEHSOFTS1,107926,core,310
21,BENGH,BEHSOFTS1,107808,core,120
22,BENGH,BEHSOFTS1,107457,elective,410
23,BENGH,BEHSOFTS1,107455,elective,420
24,BENGH,BEHSOFTS1,106989,elective,310
25,BENGH,BEHSOFTS1,106929,elective,420
26,BENGH,BEHSOFTS1,106384,core,210
27,BENGH,BEHSOFTS1,105877,core,120
28,BENGH,BEHSOFTS1,105876,core,120
29,BENGH,BEHSOFTS1,105875,core,210
30,BENGH,BEHSOFTS1,105699,elective,310
31,BENGH,BEHSOFTS1,105583,elective,320
32,BENGH,BEHSOFTS1,105579,elective,220
33,BENGH,BEHSOFTS1,103641,core,420
34,BENGH,BEHSOFTS1,103630,elective,310
35,BENGH,BEHSOFTS1,103625,elective,420
36,BENGH,BEHSOFTS1,102485,elective,310
37,BENGH,BEHSOFTS1,102483,core,420
38,BENGH,BEHSOFTS1,102482,elective,210
39,BENGH,BEHSOFTS1,102460,elective,310
40,BENGH,BEHSOFTS1,19786,core,110
41,BENGH,BEHSOFTS1,9786,core,120
42,BENGH,BEHSOFTS1,6378,elective,310
43,BENGH,BEHSOFTS1,5141,elective,320
44,BENGH,BEHSOFTS1,4468,core,320
45,BENGH,BEHSOFTS1,2328,core,310
46,BENGH,BEHSOFTS1,1956,core,220
